service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Instances (Compute Engine),E2 Instance Core running in Americas,730.0,us-west1,6F81-5844-456A,CF4E-A0C7-E3BF,15.92246,
Instances (Compute Engine),E2 Instance Ram running in Americas,2920.0,us-west1,6F81-5844-456A,F449-33EC-A5EF,8.53671,
Instances (Compute Engine),SSD backed PD Capacity,10.0,us-west1,6F81-5844-456A,B188-61DD-52E4,1.7,
Memorystore for Redis (Cloud Memorystore),Redis Capacity Basic M1 Iowa/South Carolina/Oregon,365.0,us-west1,5AF5-2C11-D467,38BC-F861-2EB5,17.885,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - Micro instance in Americas,730.0,us-west1,9662-B51E-5089,65AF-E01F-7427,7.665,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - Low cost storage in Americas,7300.0,us-west1,9662-B51E-5089,76D8-D61F-9B56,0.9,
,,,,,,,
,,,,,Total Price:,52.60917,
,,,,,,,
"Prices are in US dollars, effective date is 2026-03-04T01:29:11.216Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVF5T1dGalpXVTJNaTFoTlRVMUxUUTBOREF0T1RobE9TMWhZalF6WlRjMFpHSmtaR0lRQVE9PRokNzZGREJEQzYtMDVENy00QzdELUJFMzUtQ0M0MTY0MEU3M0Qz,,,,,,
